match_date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2024-08-01,Manchester City,Liverpool,2,2,1.91,2.0
2024-08-11,Manchester City,Liverpool,1,1,1.04,0.95
2024-08-21,Manchester City,Liverpool,1,2,1.0,2.19
2024-08-31,Manchester City,Arsenal,3,1,3.04,0.96
2024-09-10,Manchester City,Arsenal,2,1,1.84,1.07
2024-09-20,Manchester City,Arsenal,2,2,1.99,2.18
2024-09-30,Liverpool,Manchester City,4,2,3.69,1.93
2024-10-10,Liverpool,Manchester City,2,1,2.09,1.02
2024-10-20,Liverpool,Manchester City,2,3,1.9,3.15
2024-10-30,Liverpool,Arsenal,2,1,1.81,0.96
2024-11-09,Liverpool,Arsenal,1,1,1.02,1.02
2024-11-19,Liverpool,Arsenal,2,1,2.06,0.97
2024-11-29,Arsenal,Manchester City,2,0,2.05,0.0
2024-12-09,Arsenal,Manchester City,1,2,1.03,2.17
2024-12-19,Arsenal,Manchester City,2,1,1.91,0.95
2024-12-29,Arsenal,Liverpool,1,2,0.98,2.16
2025-01-08,Arsenal,Liverpool,0,3,0.0,2.83
2025-01-18,Arsenal,Liverpool,2,3,1.83,3.06
