player,team,minutes,shots_total,shots_on_target,goals,xg
Manchester_City_Player_1,Manchester City,1174,19,7,1,1.03
Manchester_City_Player_2,Manchester City,1247,60,33,8,8.84
Manchester_City_Player_3,Manchester City,1232,34,16,4,3.44
Manchester_City_Player_4,Manchester City,2283,49,19,3,3.0
Manchester_City_Player_5,Manchester City,1915,25,7,2,2.08
Manchester_City_Player_6,Manchester City,2074,6,1,0,0.0
Manchester_City_Player_7,Manchester City,617,3,1,0,0.0
Manchester_City_Player_8,Manchester City,1207,23,12,2,2.19
Manchester_City_Player_9,Manchester City,2093,34,19,6,6.24
Manchester_City_Player_10,Manchester City,732,17,6,1,1.15
Liverpool_Player_1,Liverpool,1951,41,19,4,3.63
Liverpool_Player_2,Liverpool,962,6,3,0,0.0
Liverpool_Player_3,Liverpool,2259,61,18,3,3.03
Liverpool_Player_4,Liverpool,921,36,21,4,4.57
Liverpool_Player_5,Liverpool,1097,23,11,3,2.84
Liverpool_Player_6,Liverpool,1905,26,11,3,3.01
Liverpool_Player_7,Liverpool,2099,43,13,4,3.86
Liverpool_Player_8,Liverpool,665,18,7,2,1.85
Liverpool_Player_9,Liverpool,1967,38,16,3,3.51
Liverpool_Player_10,Liverpool,901,38,14,4,3.59
Arsenal_Player_1,Arsenal,725,12,7,2,1.89
Arsenal_Player_2,Arsenal,2381,16,8,1,1.02
Arsenal_Player_3,Arsenal,2024,58,19,3,3.11
Arsenal_Player_4,Arsenal,1569,82,30,8,7.35
Arsenal_Player_5,Arsenal,1816,57,18,4,4.58
Arsenal_Player_6,Arsenal,1466,35,10,2,2.12
Arsenal_Player_7,Arsenal,1641,14,5,1,1.09
Arsenal_Player_8,Arsenal,2308,133,59,17,19.52
Arsenal_Player_9,Arsenal,718,25,12,4,4.4
Arsenal_Player_10,Arsenal,1813,82,39,10,11.12
