player,team,minutes,shots_total,shots_on_target,goals,xg,shot_x,shot_y
Ollie Rice,Manchester City,2802,46,26,7,8.6,97.4,31.3
Joao Watkins,Manchester City,545,4,1,0,0.0,98.9,47.1
Mateo Trossard,Manchester City,2558,85,49,18,22.8,98.0,40.6
Harry Sterling,Manchester City,1654,64,22,2,2.01,74.6,15.9
Jack Mitrovic,Manchester City,678,14,5,0,0.0,102.1,41.8
Declan Maddison,Manchester City,2131,49,22,2,2.54,84.5,30.3
Sergio Diaz,Manchester City,518,13,5,1,0.99,78.0,37.7
Anthony Mount,Manchester City,2123,51,20,5,5.58,86.4,31.8
Miguel Neto,Manchester City,1765,77,37,4,4.11,93.6,40.7
Nicolas Odegaard,Manchester City,1925,62,38,11,9.1,92.5,52.0
Leon Fernandes,Manchester City,1385,20,9,1,1.15,85.9,40.4
Christian Firmino,Manchester City,272,4,1,0,0.0,76.0,32.2
Matheus Martinelli,Manchester City,1499,18,5,1,0.94,102.2,37.2
Heung-Min Johnson,Manchester City,2139,217,115,13,11.9,102.0,38.4
Andrew Zaha,Manchester City,2666,76,45,16,14.37,95.8,25.9
Luis Toney,Liverpool,1714,63,20,3,3.44,91.1,38.5
Martin De Bruyne,Liverpool,1410,23,13,4,5.08,73.0,29.7
Ivan Jesus,Liverpool,2149,45,14,3,2.48,103.0,17.8
Raphael Foden,Liverpool,962,6,2,0,0.0,74.5,24.7
Eberechi Aguero,Liverpool,816,14,8,1,1.25,97.2,17.9
Phil Haaland,Liverpool,2059,10,5,0,0.0,87.7,20.5
Curtis Kovacic,Liverpool,2143,46,20,2,2.06,80.7,46.3
Harvey Cunha,Liverpool,2333,30,11,2,2.59,93.2,22.6
Jadon Rashford,Liverpool,2178,19,11,4,4.98,83.0,22.4
Callum Eze,Liverpool,1285,89,46,13,11.16,98.0,19.7
Bukayo Sancho,Liverpool,2010,37,20,2,1.8,103.3,21.7
Brennan Felix,Liverpool,1158,29,11,4,5.06,96.0,25.6
